year,stage_no,date,start,finish,distance_km,type
1995,18,1995-07-21,Montpon-Ménestérol,Limoges,166.5,Plain stage
1995,19,1995-07-22,Lac de Vassivière,Lac de Vassivière,46.5,Individual time trial
1995,20,1995-07-23,Sainte-Geneviève-des-Bois,Paris,155.0,Plain stage
1996,P,1996-06-29,'s-Hertogenbosch (Netherlands),'s-Hertogenbosch (Netherlands),9.4,Individual time trial
1996,1,1996-06-30,'s-Hertogenbosch (Netherlands),'s-Hertogenbosch (Netherlands),209.0,Plain stage
1996,2,1996-07-01,'s-Hertogenbosch (Netherlands),Wasquehal,247.5,Plain stage
1996,3,1996-07-02,Wasquehal,Nogent-sur-Oise,195.0,Plain stage
1996,4,1996-07-03,Soissons,Lac de Madine,232.0,Plain stage
1996,5,1996-07-04,Lac de Madine,Besançon,242.0,Plain stage
1996,6,1996-07-05,Arc-et-Senans,Aix-les-Bains,207.0,Hilly stage
1996,7,1996-07-06,Chambéry,Les Arcs,200.0,Stage with mountain(s)
1996,8,1996-07-07,Bourg-Saint-Maurice,Val d'Isère,30.5,Individual time trial
1996,9,1996-07-08,Le Monêtier-les-Bains,Sestriere (Italy),46.0,Stage with mountain(s)
1996,10,1996-07-09,Turin (Italy),Gap,208.5,Hilly stage
1996,11,1996-07-11,Gap,Valence,202.0,Hilly stage
1996,12,1996-07-12,Valence,Le Puy-en-Velay,143.5,Hilly stage
1996,13,1996-07-13,Le Puy-en-Velay,Super Besse,177.0,Hilly stage
1996,14,1996-07-14,Besse,Tulle,186.5,Hilly stage
1996,15,1996-07-15,Brive-la-Gaillarde,Villeneuve-sur-Lot,176.0,Plain stage
1996,16,1996-07-16,Agen,Hautacam,199.0,Stage with mountain(s)
1996,17,1996-07-17,Argelès-Gazost,Pamplona (Spain),262.0,Stage with mountain(s)
1996,18,1996-07-18,Pamplona (Spain),Hendaye,154.5,Hilly stage
1996,19,1996-07-19,Hendaye,Bordeaux,226.5,Plain stage
1996,20,1996-07-20,Bordeaux,Saint-Émilion,63.5,Individual time trial
1996,21,1996-07-21,Palaiseau,Paris,147.5,Plain stage
1997,P,1997-07-05,Rouen,Rouen,7.3,Individual time trial
1997,1,1997-07-06,Rouen,Forges-les-Eaux,192.0,Flat stage
1997,2,1997-07-07,Saint-Valery-en-Caux,Vire,262.0,Flat stage
1997,3,1997-07-08,Vire,Plumelec,224.0,Flat stage
1997,4,1997-07-09,Plumelec,Le Puy du Fou,223.0,Flat stage
1997,5,1997-07-10,Chantonnay,La Châtre,261.5,Flat stage
1997,6,1997-07-11,Le Blanc,Marennes,217.5,Flat stage
1997,7,1997-07-12,Marennes,Bordeaux,194.0,Flat stage
1997,8,1997-07-13,Sauternes,Pau,161.5,Flat stage
1997,9,1997-07-14,Pau,Loudenvielle,182.0,Mountain stage
1997,10,1997-07-15,Luchon,Andorra Arcalis,252.5,Mountain stage
1997,11,1997-07-16,Andorra Arcalis,Perpignan,192.0,Hilly stage
1997,12,1997-07-18,Saint-Étienne,Saint-Étienne,55.0,Individual time trial
1997,13,1997-07-19,Saint-Étienne,Alpe d'Huez,203.5,Mountain stage
1997,14,1997-07-20,Le Bourg-d'Oisans,Courchevel,148.0,Mountain stage
1997,15,1997-07-21,Courchevel,Morzine,208.5,Mountain stage
1997,16,1997-07-22,Morzine,Fribourg (Switzerland),181.0,Hilly stage
1997,17,1997-07-23,Fribourg (Switzerland),Colmar,218.5,Flat stage
1997,18,1997-07-24,Colmar,Montbéliard,175.5,Hilly stage
1997,19,1997-07-25,Montbéliard,Dijon,172.0,Flat stage
1997,20,1997-07-26,Disneyland Paris,Disneyland Paris,63.0,Individual time trial
1997,21,1997-07-27,Disneyland Paris,Paris,149.5,Flat stage
1998,P,1998-07-11,Dublin (Ireland),Dublin (Ireland),5.6,Individual time trial
1998,1,1998-07-12,Dublin (Ireland),Dublin (Ireland),180.5,Flat stage
1998,2,1998-07-13,Enniscorthy (Ireland),Cork (Ireland),205.5,Flat stage
1998,3,1998-07-14,Roscoff,Lorient,169.0,Flat stage
1998,4,1998-07-15,Plouay,Cholet,252.0,Flat stage
1998,5,1998-07-16,Cholet,Châteauroux,228.5,Flat stage
1998,6,1998-07-17,La Châtre,Brive-la-Gaillarde,204.5,Flat stage
1998,7,1998-07-18,Meyrignac-l'Église,Corrèze,58.0,Individual time trial
1998,8,1998-07-19,Brive-la-Gaillarde,Montauban,190.5,Flat stage
1998,9,1998-07-20,Montauban,Pau,210.0,Flat stage
1998,10,1998-07-21,Pau,Luchon,196.5,High mountain stage
1998,11,1998-07-22,Luchon,Plateau de Beille,170.0,High mountain stage
1998,12,1998-07-24,Tarascon-sur-Ariège,Cap d'Agde,190.0,Flat stage
1998,13,1998-07-25,Frontignan la Peyrade,Carpentras,196.0,Flat stage
1998,14,1998-07-26,Valréas,Grenoble,186.5,Mountain stage
1998,15,1998-07-27,Grenoble,Les Deux Alpes,189.0,High mountain stage
1998,16,1998-07-28,Vizille,Albertville,204.0,High mountain stage
1998,17,1998-07-29,Albertville,Aix-les-Bains,149.0,High mountain stage
1998,18,1998-07-30,Aix-les-Bains,Neuchâtel (Switzerland),218.5,Mountain stage
1998,19,1998-07-31,La Chaux-de-Fonds (Switzerland),Autun,242.0,Flat stage
1998,20,1998-08-01,Montceau-les-Mines,Le Creusot,52.0,Individual time trial
1998,21,1998-08-02,Melun,Paris,147.5,Flat stage
1999,P,1999-07-03,Le Puy du Fou,Le Puy du Fou,6.8,Individual time trial
1999,1,1999-07-04,Montaigu,Challans,208.0,Plain stage
1999,2,1999-07-05,Challans,Saint-Nazaire,176.0,Plain stage
1999,3,1999-07-06,Nantes,Laval,194.5,Plain stage
1999,4,1999-07-07,Laval,Blois,194.5,Plain stage
1999,5,1999-07-08,Bonneval,Amiens,233.5,Plain stage
1999,6,1999-07-09,Amiens,Maubeuge,171.5,Plain stage
1999,7,1999-07-10,Avesnes-sur-Helpe,Thionville,227.0,Plain stage
1999,8,1999-07-11,Metz,Metz,56.5,Individual time trial
1999,9,1999-07-13,Le Grand-Bornand,Sestrières,213.5,Stage with mountain(s)
1999,10,1999-07-14,Sestrières,Alpe d'Huez,220.5,Stage with mountain(s)
1999,11,1999-07-15,Le Bourg-d'Oisans,Saint-Étienne,198.5,Hilly stage
1999,12,1999-07-16,Saint-Galmier,Saint-Flour,201.5,Hilly stage
1999,13,1999-07-17,Saint-Flour,Albi,236.5,Hilly stage
1999,14,1999-07-18,Castres,Saint-Gaudens,199.0,Plain stage
1999,15,1999-07-20,Saint-Gaudens,Piau-Engaly,173.0,Stage with mountain(s)
1999,16,1999-07-21,Lannemezan,Pau,192.0,Stage with mountain(s)
1999,17,1999-07-22,Mourenx,Bordeaux,200.0,Plain stage
1999,18,1999-07-23,Jonzac,Futuroscope,187.5,Plain stage
1999,19,1999-07-24,Futuroscope,Futuroscope,57.0,Individual time trial
1999,20,1999-07-25,Arpajon,Paris,143.5,Plain stage
2000,1,2000-07-01,Futuroscope,Futuroscope,16.5,Individual time trial
2000,2,2000-07-02,Futuroscope,Loudun,194.0,Plain stage
2000,3,2000-07-03,Loudun,Nantes,161.5,Plain stage
2000,4,2000-07-04,Nantes,Saint-Nazaire,70.0,Team time trial
2000,5,2000-07-05,Vannes,Vitré,202.0,Plain stage
2000,6,2000-07-06,Vitré,Tours,198.5,Plain stage
2000,7,2000-07-07,Tours,Limoges,205.5,Plain stage
2000,8,2000-07-08,Limoges,Villeneuve-sur-Lot,203.5,Plain stage
2000,9,2000-07-09,Agen,Dax,181.0,Plain stage
2000,10,2000-07-10,Dax,Hautacam,205.0,Stage with mountain(s)
2000,11,2000-07-11,Bagnères-de-Bigorre,Revel,218.5,Hilly stage
2000,12,2000-07-13,Carpentras,Mont Ventoux,149.0,Stage with mountain(s)
2000,13,2000-07-14,Avignon,Draguignan,185.5,Plain stage
2000,14,2000-07-15,Draguignan,Briançon,249.5,Stage with mountain(s)
2000,15,2000-07-16,Briançon,Courchevel,173.5,Stage with mountain(s)
2000,16,2000-07-18,Courchevel,Morzine,196.5,Stage with mountain(s)
2000,17,2000-07-19,Évian-les-Bains,Lausanne,155.0,Hilly stage
2000,18,2000-07-20,Lausanne,Freiburg (Germany),246.5,Plain stage
2000,19,2000-07-21,Freiburg (Germany),Mulhouse,58.5,Individual time trial
2000,20,2000-07-22,Belfort,Troyes,254.5,Plain stage
2000,21,2000-07-23,Paris,Paris,138.0,Plain stage
2001,P,2001-07-07,Dunkirk,Dunkirk,8.2,Individual time trial
2001,1,2001-07-08,Saint-Omer,Boulogne-sur-Mer,194.5,Flat stage
2001,2,2001-07-09,Calais,Antwerp (Belgium),220.5,Flat stage
2001,3,2001-07-10,Antwerp (Belgium),Seraing (Belgium),198.5,Flat stage
2001,4,2001-07-11,Huy (Belgium),Verdun,215.0,Flat stage
2001,5,2001-07-12,Verdun,Bar-le-Duc,67.0,Team time trial
2001,6,2001-07-13,Commercy,Strasbourg,211.5,Flat stage
2001,7,2001-07-14,Strasbourg,Colmar,162.5,Medium mountain stage
2001,8,2001-07-15,Colmar,Pontarlier,222.5,Flat stage
2001,9,2001-07-16,Pontarlier,Aix-les-Bains,185.0,Flat stage
2001,10,2001-07-17,Aix-les-Bains,Alpe d'Huez,209.0,High mountain stage
2001,11,2001-07-18,Grenoble,Chamrousse,32.0,Individual time trial
2001,12,2001-07-20,Perpignan,Plateau de Bonascre,166.5,High mountain stage
2001,13,2001-07-21,Foix,Saint-Lary-Soulan Pla d'Adet,194.0,High mountain stage
2001,14,2001-07-22,Tarbes,Luz Ardiden,141.5,High mountain stage
2001,15,2001-07-24,Pau,Lavaur,232.5,Flat stage
2001,16,2001-07-25,Castelsarrasin,Sarran,229.5,Flat stage
2001,17,2001-07-26,Brive-la-Gaillarde,Montluçon,194.0,Flat stage
2001,18,2001-07-27,Montluçon,Saint-Amand-Montrond,61.0,Individual time trial
2001,19,2001-07-28,Orléans,Évry,149.5,Flat stage
2001,20,2001-07-29,Corbeil-Essonnes,Paris,160.5,Flat stage
2002,P,2002-07-06,Luxembourg City (Luxembourg),Luxembourg City (Luxembourg),7.0,Individual time trial
2002,1,2002-07-07,Luxembourg City (Luxembourg),Luxembourg City (Luxembourg),192.5,Plain stage
2002,2,2002-07-08,Luxembourg City (Luxembourg),Saarbrücken (Germany),181.0,Plain stage
2002,3,2002-07-09,Metz,Reims,174.5,Plain stage
2002,4,2002-07-10,Épernay,Château-Thierry,67.5,Team time trial
2002,5,2002-07-11,Soissons,Rouen,195.0,Plain stage
2002,6,2002-07-12,Forges-les-Eaux,Alençon,199.5,Plain stage
2002,7,2002-07-13,Bagnoles-de-l'Orne,Avranches,176.0,Plain stage
2002,8,2002-07-14,Saint-Martin-de-Landelles,Plouay,217.5,Plain stage
2002,9,2002-07-15,Lanester,Lorient,52.0,Individual time trial
2002,10,2002-07-17,Bazas,Pau,147.0,Plain stage
2002,11,2002-07-18,Pau,La Mongie,158.0,Stage with mountain(s)
2002,12,2002-07-19,Lannemezan,Plateau de Beille,199.5,Stage with mountain(s)
2002,13,2002-07-20,Lavelanet,Béziers,171.0,Plain stage
2002,14,2002-07-21,Lodève,Mont Ventoux,221.0,Stage with mountain(s)
2002,15,2002-07-23,Vaison-la-Romaine,Les Deux Alpes,226.5,Hilly stage
2002,16,2002-07-24,Les Deux Alpes,La Plagne,179.5,Stage with mountain(s)
2002,17,2002-07-25,Aime,Cluses,142.0,Stage with mountain(s)
2002,18,2002-07-26,Cluses,Bourg-en-Bresse,176.5,Hilly stage
2002,19,2002-07-27,Régnié-Durette,Mâcon,50.0,Individual time trial
2002,20,2002-07-28,Melun,Paris,144.0,Plain stage
2003,P,2003-07-05,Paris,Paris,6.5,Individual time trial
2003,1,2003-07-06,Saint-Denis,Meaux,168.0,Flat stage
2003,2,2003-07-07,La Ferté-sous-Jouarre,Sedan,204.5,Flat stage
2003,3,2003-07-08,Charleville-Mézières,Saint-Dizier,167.5,Flat stage
2003,4,2003-07-09,Joinville,Saint-Dizier,69.0,Team time trial
2003,5,2003-07-10,Troyes,Nevers,196.5,Flat stage
2003,6,2003-07-11,Nevers,Lyon,230.0,Flat stage
2003,7,2003-07-12,Lyon,Morzine,230.5,Mountain Stage (s)
2003,8,2003-07-13,Sallanches,Alpe d'Huez,219.0,Mountain Stage (s)
2003,9,2003-07-14,Le Bourg-d'Oisans,Gap,184.5,Mountain Stage (s)
2003,10,2003-07-15,Gap,Marseille,219.5,Flat stage
2003,11,2003-07-17,Narbonne,Toulouse,153.5,Flat stage
2003,12,2003-07-18,Gaillac,Cap Découverte,47.0,Individual time trial
2003,13,2003-07-19,Toulouse,Ax 3 Domaines,197.5,Mountain Stage (s)
2003,14,2003-07-20,Saint-Girons,Loudenvielle,191.5,Mountain Stage (s)
2003,15,2003-07-21,Bagnères-de-Bigorre,Luz Ardiden,159.5,Mountain Stage (s)
2003,16,2003-07-23,Pau,Bayonne,197.5,Hilly stage
2003,17,2003-07-24,Dax,Bordeaux,181.0,Flat stage
2003,18,2003-07-25,Bordeaux,Saint-Maixent-l'École,203.5,Flat stage
2003,19,2003-07-26,Pornic,Nantes,49.0,Individual time trial
2003,20,2003-07-27,Ville-d'Avray,Paris,152.0,Flat stage
2004,P,2004-07-03,Liège (Belgium),Liège (Belgium),6.1,Individual time trial
2004,1,2004-07-04,Liège (Belgium),Charleroi (Belgium),202.5,Plain stage
2004,2,2004-07-05,Charleroi (Belgium),Namur (Belgium),197.0,Plain stage
2004,3,2004-07-06,Waterloo (Belgium),Wasquehal,210.0,Plain stage
2004,4,2004-07-07,Cambrai,Arras,64.5,Team time trial
2004,5,2004-07-08,Amiens,Chartres,200.5,Plain stage
2004,6,2004-07-09,Bonneval,Angers,196.0,Plain stage
2004,7,2004-07-10,Châteaubriant,Saint-Brieuc,204.5,Plain stage
2004,8,2004-07-11,Lamballe,Quimper,168.0,Plain stage
2004,9,2004-07-13,Saint-Léonard-de-Noblat,Guéret,160.5,Plain stage
2004,10,2004-07-14,Limoges,Saint-Flour,237.0,Hilly stage
2004,11,2004-07-15,Saint-Flour,Figeac,164.0,Hilly stage
2004,12,2004-07-16,Castelsarrasin,La Mongie,197.5,Mountain stage
2004,13,2004-07-17,Lannemezan,Plateau de Beille,205.5,Mountain stage
2004,14,2004-07-18,Carcassonne,Nîmes,192.5,Plain stage
2004,15,2004-07-20,Valréas,Villard-de-Lans,180.5,Mountain stage
2004,16,2004-07-21,Le Bourg-d'Oisans,Alpe d'Huez,15.5,Individual time trial
2004,17,2004-07-22,Le Bourg-d'Oisans,Le Grand-Bornand,204.5,Mountain stage
2004,18,2004-07-23,Annemasse,Lons-le-Saunier,166.5,Hilly stage
2004,19,2004-07-24,Besançon,Besançon,55.0,Individual time trial
2004,20,2004-07-25,Montereau-Fault-Yonne,Paris,163.0,Plain stage
2005,1,2005-07-02,Fromentine,Noirmoutier-en-l'Île,19.0,Individual time trial
2005,2,2005-07-03,Challans,Les Essarts,181.5,Plain stage
2005,3,2005-07-04,La Châtaigneraie,Tours,212.5,Plain stage
2005,4,2005-07-05,Tours,Blois,67.5,Team time trial
2005,5,2005-07-06,Chambord,Montargis,183.0,Plain stage
2005,6,2005-07-07,Troyes,Nancy,199.0,Plain stage
2005,7,2005-07-08,Lunéville,Karlsruhe (Germany),228.5,Plain stage
2005,8,2005-07-09,Pforzheim (Germany),Gérardmer,231.5,Hilly stage
2005,9,2005-07-10,Gérardmer,Mulhouse,171.0,Hilly stage
2005,10,2005-07-12,Grenoble,Courchevel,177.0,Mountain stage
2005,11,2005-07-13,Courchevel,Briançon,173.0,Mountain stage
2005,12,2005-07-14,Briançon,Digne-les-Bains,187.0,Hilly stage
2005,13,2005-07-15,Miramas,Montpellier,173.5,Plain stage
2005,14,2005-07-16,Agde,Ax 3 Domaines,220.5,Mountain stage
2005,15,2005-07-17,Lézat-sur-Lèze,Saint-Lary-Soulan Pla d'Adet,205.5,Mountain stage
2005,16,2005-07-19,Mourenx,Pau,180.5,Mountain stage
2005,17,2005-07-20,Pau,Revel,239.5,Plain stage
2005,18,2005-07-21,Albi,Mende,189.0,Hilly stage
2005,19,2005-07-22,Issoire,Le Puy-en-Velay,153.5,Hilly stage
2005,20,2005-07-23,Saint-Étienne,Saint-Étienne,55.5,Individual time trial
